Attribute,count,mean,std,min,0.25,0.5,0.75,max,,(Mean - Median)/Mean,Suspected outliers?
NONLIVINGAPARTMENTS_MODE,93997,0.008076388,0.046276266,0,0,0,0.0039,1,,1,seems like normalized dataset
NONLIVINGAREA_MODE,137829,0.02702232,0.070253859,0,0,0.0011,0.0231,1,,0.95929291,
APARTMENTS_MEDI,151450,0.117849921,0.109075906,0,0.0583,0.0864,0.1489,1,,0.266864166,
BASEMENTAREA_MEDI,127568,0.087954855,0.08217875,0,0.0437,0.0758,0.1116,1,,0.138194244,
YEARS_BEGINEXPLUATATION_MEDI,157504,0.977752264,0.059897319,0,0.9767,0.9816,0.9866,1,,-0.003935287,
YEARS_BUILD_MEDI,103023,0.755746272,0.11206631,0,0.6914,0.7585,0.8256,1,,-0.00364372,
COMMONAREA_MEDI,92646,0.044595102,0.076144262,0,0.0079,0.0208,0.0513,1,,0.533581062,
ELEVATORS_MEDI,143620,0.078077844,0.134467148,0,0,0,0.12,1,,1,seems like normalized dataset
ENTRANCES_MEDI,152683,0.149212781,0.100368394,0,0.069,0.1379,0.2069,1,,0.075816433,
FLOORSMAX_MEDI,154491,0.22589659,0.145067026,0,0.1667,0.1667,0.3333,1,,0.262051721,
FLOORSMIN_MEDI,98869,0.231624938,0.161933541,0,0.0833,0.2083,0.375,1,,0.100701325,
LANDAREA_MEDI,124921,0.067168749,0.08216701,0,0.0187,0.0487,0.0868,1,,0.274960444,
LIVINGAPARTMENTS_MEDI,97312,0.101954473,0.093642333,0,0.0513,0.0761,0.1231,1,,0.253588415,
LIVINGAREA_MEDI,153161,0.108606736,0.112260259,0,0.0457,0.0749,0.1303,1,,0.310355852,
NONLIVINGAPARTMENTS_MEDI,93997,0.008651013,0.047414728,0,0,0,0.0039,1,,1,seems like normalized dataset
NONLIVINGAREA_MEDI,137829,0.028235921,0.070166482,0,0,0.0031,0.0266,1,,0.890210769,
TOTALAREA_MODE,159080,0.102546663,0.107462324,0,0.0412,0.0688,0.1276,1,,0.329085919,
OBS_30_CNT_SOCIAL_CIRCLE,306490,1.422245424,2.400988746,0,0,0,2,348,,1,"reasonable; ""# of default observations in social surroundings"" - most are 0's"
DEF_30_CNT_SOCIAL_CIRCLE,306490,0.143420666,0.446698429,0,0,0,0,34,,1,
OBS_60_CNT_SOCIAL_CIRCLE,306490,1.405292179,2.379803352,0,0,0,2,344,,1,
DEF_60_CNT_SOCIAL_CIRCLE,306490,0.100048941,0.362290804,0,0,0,0,24,,1,
DAYS_LAST_PHONE_CHANGE,307510,-962.8587883,826.808487,-4292,-1570,-757,-274,0,,0.213799563,
FLAG_DOCUMENT_2,307511,4.23E-05,0.006501789,0,0,0,0,1,,1,"binary, like most of the below"
FLAG_DOCUMENT_3,307511,0.710023381,0.453751968,0,0,1,1,1,,-0.408404324,
FLAG_DOCUMENT_4,307511,8.13E-05,0.009016183,0,0,0,0,1,,1,
FLAG_DOCUMENT_5,307511,0.015114906,0.122010223,0,0,0,0,1,,1,
FLAG_DOCUMENT_6,307511,0.088055387,0.283375893,0,0,0,0,1,,1,
FLAG_DOCUMENT_7,307511,0.000191863,0.013850158,0,0,0,0,1,,1,
FLAG_DOCUMENT_8,307511,0.081375951,0.273412049,0,0,0,0,1,,1,
FLAG_DOCUMENT_9,307511,0.003895796,0.062294711,0,0,0,0,1,,1,
FLAG_DOCUMENT_10,307511,2.28E-05,0.004771055,0,0,0,0,1,,1,
FLAG_DOCUMENT_11,307511,0.003912055,0.062424063,0,0,0,0,1,,1,
FLAG_DOCUMENT_12,307511,6.50E-06,0.002550257,0,0,0,0,1,,1,
FLAG_DOCUMENT_13,307511,0.003525077,0.059267718,0,0,0,0,1,,1,
FLAG_DOCUMENT_14,307511,0.00293648,0.054109767,0,0,0,0,1,,1,
FLAG_DOCUMENT_15,307511,0.001209713,0.034759939,0,0,0,0,1,,1,
FLAG_DOCUMENT_16,307511,0.0099281,0.099144162,0,0,0,0,1,,1,
FLAG_DOCUMENT_17,307511,0.000266657,0.016327489,0,0,0,0,1,,1,
FLAG_DOCUMENT_18,307511,0.00812979,0.089798236,0,0,0,0,1,,1,
FLAG_DOCUMENT_19,307511,0.000595101,0.024387465,0,0,0,0,1,,1,
FLAG_DOCUMENT_20,307511,0.000507299,0.02251762,0,0,0,0,1,,1,
FLAG_DOCUMENT_21,307511,0.000334947,0.018298532,0,0,0,0,1,,1,
AMT_REQ_CREDIT_BUREAU_HOUR,265992,0.006402448,0.083849128,0,0,0,0,4,,1,number of inquiries into credit bureau about client right before the application - makes sense most don't have any
AMT_REQ_CREDIT_BUREAU_DAY,265992,0.007000211,0.110757406,0,0,0,0,9,,1,"not sure if it mades sense 25th, 50th, and 75th"
AMT_REQ_CREDIT_BUREAU_WEEK,265992,0.034361936,0.204684876,0,0,0,0,8,,1,percentiles are all 0's though…
AMT_REQ_CREDIT_BUREAU_MON,265992,0.26739526,0.916002396,0,0,0,0,27,,1,
AMT_REQ_CREDIT_BUREAU_QRT,265992,0.26547415,0.794055648,0,0,0,0,261,,1,
AMT_REQ_CREDIT_BUREAU_YEAR,265992,1.899974435,1.869294998,0,0,1,3,25,,0.473677129,
NonNA_Percentage,307511,0.754564478,0.17160419,0.491803279,0.598360656,0.696721311,0.959016393,1,,0.076657685,
