,SK_ID_CURR,TARGET,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,NonNA_Percentage,Jenny's,Max Correlation,3rd max,4th max
DAYS_REGISTRATION,-0.00097339,0.041974863,0.183395284,0.02780542,0.009621326,0.038514247,0.011564978,-0.053819644,0.331912082,-0.210241785,1,0.101895593,-0.025990966,-0.000100391,0.212361296,0.058283407,-0.003847828,-0.075188271,0.034388473,0.173416271,0.080210445,0.074038052,-0.01090788,0.028212569,0.036787078,0.027560241,0.064333531,0.099873673,0.072657635,-0.181094593,-0.059912821,-0.107548844,0.013185687,-0.020729464,0.011034697,0.164183669,0.028300133,0.000746192,-0.063094316,0.04970077,0.021459076,0.003109366,0.024083732,0.007419059,0.034227767,0.049011731,0.012732266,-0.020010587,0.008782662,0.16274438,0.029172091,0.002729306,-0.060087192,0.049656875,0.020234522,0.003353555,0.023104337,0.00745654,0.031757572,0.047196554,0.013463346,-0.021503752,0.011038561,0.164034493,0.029250363,0.0017259,-0.062599326,0.050076117,0.021644747,0.002968247,0.024733528,0.00792554,0.033401208,0.049931461,0.019495233,0.009124694,0.003360732,0.009088354,0.00453814,0.05698257,-0.004466426,0.033740322,-0.004221066,-0.001243253,-0.137769202,0.001366425,0.057040695,0.009898161,0.000291925,0.014731175,0.001682106,0.015469557,0.011636062,0.008195025,0.025934575,0.00210182,0.017040334,0.00476368,0.006970928,0.003859283,-0.002854878,-0.000507901,-0.001069091,-0.011353203,-0.001307655,-0.024804795,-0.054520967,No,0.331912082,0.212361296,0.183395284
DAYS_ID_PUBLISH,-0.000384367,0.051457173,-0.028019426,0.008506241,-0.006574774,0.011268052,-0.009266808,-0.003993375,0.272690662,-0.272378039,0.101895593,1,0.008633448,-0.002292836,0.273611466,0.045963795,-0.000802037,-0.037659651,0.02750457,-0.020911608,-0.005103213,-0.00773742,0.031676326,0.034756721,0.04807076,0.033937661,0.076325993,0.099354364,0.06109414,-0.132374898,-0.050955131,-0.13159687,-0.007321571,-0.014031811,-0.00341554,-0.007238329,0.000100295,-0.010554928,-0.015374629,-0.010235311,-0.008865491,-0.007496249,-0.000952726,-0.011514702,-0.00388406,0.002307938,-0.007129369,-0.013191813,-0.00259041,-0.007168518,-1.24E-05,-0.010633639,-0.015547834,-0.01030816,-0.008991294,-0.008026115,-0.001583778,-0.012096084,-0.003698698,0.00132127,-0.007139326,-0.014128882,-0.003193442,-0.006938754,0.000372197,-0.010448175,-0.01564717,-0.01030744,-0.008754311,-0.007634167,-0.001237529,-0.011315292,-0.003287882,0.002487698,-0.011152528,-0.012454243,0.002737591,-0.012873715,0.004327886,0.088575897,-0.000348704,0.05030924,0.000545288,0.002066416,-0.178282123,-3.41E-05,0.024065156,0.015270976,-0.001214034,0.022875039,-0.002192678,0.003048392,0.008710228,0.000157506,0.002781774,0.004804302,0.014084053,0.000902568,7.03E-05,0.01724569,0.004761338,-0.000998914,-0.00124948,-0.00965998,-0.006199923,-0.035098986,-0.014446555,No,0.273611466,0.272690662,0.101895593
OWN_CAR_AGE,0.001818347,0.037611564,0.008493515,-0.117273338,-0.094190719,-0.09705744,-0.103733271,-0.081429054,0.005761036,0.028830495,-0.025990966,0.008633448,1,-0.002314094,-0.028282217,-0.056474113,0.012297596,-0.063183689,-0.018509744,-0.015060588,0.087494303,0.088819699,-0.071899402,-0.019737089,-0.031822595,-0.028980202,0.009218082,0.016292485,0.008898944,-0.083410862,-0.080752906,-0.014603848,-0.05117652,-0.033364523,0.000418216,-0.049068068,-0.035523688,-0.066453866,-0.018156096,-0.083690018,-0.075332405,-0.021656576,-0.050552809,-0.060351516,-0.02480605,-0.031386421,-0.045408973,-0.027319805,0.002475779,-0.047273924,-0.030161459,-0.061364856,-0.01305465,-0.08121127,-0.072488877,-0.01934283,-0.044225555,-0.055302353,-0.022009683,-0.027811372,-0.050102494,-0.032011294,0.000743142,-0.048787242,-0.035066269,-0.065592766,-0.017279942,-0.083250446,-0.075454136,-0.021644785,-0.05012128,-0.059040004,-0.024250951,-0.030683787,-0.061297514,0.003648924,0.008867857,0.00361088,0.01329481,0.002506439,0.000615575,0.036403017,-0.004151534,0.007117722,0.023364743,0.002299356,-0.059592155,-0.002911314,-0.002418835,-0.021159928,-0.003500426,-0.067008726,-0.014647567,-0.038800413,-0.004199534,0.000698595,-0.011042925,-0.004991848,-0.007457976,0.001236441,-0.000202198,-0.008650453,0.001660711,-0.0218674,-0.0176321,-0.014384075,-0.058377928,OWN_CAR_AGE,0.088819699,0.087494303,0.037611564
FLAG_MOBIL,0.002804358,0.000534396,0.00104148,0.000325477,0.001435573,0.000149005,0.001398567,0.001333143,-0.003083902,0.000818306,-0.000100391,-0.002292836,-0.002314094,1,-0.000845206,0.000899875,-7.80E-05,0.001127536,0.000442199,0.000302306,0.000185857,0.000113065,-0.000517157,0.000223618,0.000417045,0.000371245,0.000525138,0.000986835,0.000843614,,,,-0.0001486,0.000962583,-0.000649479,,,-0.000805065,0.001184968,-0.00261592,,-0.00050767,,-0.000483036,,,-0.000282563,0.000835004,-0.000621773,,,-0.000923968,0.001059217,-0.002703101,,-0.000617515,,-0.000633406,,,-0.000166086,0.000949017,-0.000641438,,,-0.000822665,0.001168146,-0.00261499,,-0.00052103,,-0.000500602,,,-9.69E-05,0.001069985,0.00057995,0.001066642,0.000498825,,1.17E-05,0.002821793,1.63E-05,0.000223399,0.000560356,2.50E-05,-0.006058865,0.000112776,8.60E-06,0.000113012,4.60E-06,0.000107256,9.79E-05,6.28E-05,0.00018058,2.95E-05,-0.019918569,4.40E-05,4.06E-05,3.30E-05,,,,,,,4.90E-06,No,0.002821793,0.002804358,0.001435573
FLAG_EMP_PHONE,-0.001336523,0.04598222,0.240713525,0.063994476,0.065518594,0.103533167,0.063486678,0.004044638,0.619887696,-0.999755011,0.212361296,0.273611466,-0.028282217,-0.000845206,1,0.233801126,-0.012818591,-0.016130659,0.062541798,0.23395039,-0.032871019,-0.034712034,0.091356255,0.036639877,0.108355394,0.096447143,0.092165667,0.256427284,0.219218929,-0.294147082,0.019458674,-0.115292763,0.016440887,0.001292014,-0.008671531,0.00579404,0.012611958,0.009908668,-0.004237678,0.016048407,0.01605763,0.009505649,0.02036393,0.012461663,0.004756192,0.01293392,0.014720112,0.000137821,-0.008676423,0.005064617,0.013112483,0.00892651,-0.005142301,0.015155961,0.015565726,0.008657306,0.019735964,0.010857885,0.004925614,0.011805943,0.016322715,0.001438666,-0.008454198,0.006133242,0.013088726,0.009931598,-0.004349531,0.01612076,0.016485718,0.009519261,0.020525017,0.01265494,0.004744443,0.01305562,0.015158086,-0.005732332,-0.016557309,-0.005883452,-0.014034469,-0.021103125,0.003047492,0.248533883,-0.000466693,0.019777724,-0.597731808,0.001604796,0.122042646,0.023877706,0.000462534,0.029372823,0.001195303,0.025877863,0.023559013,0.014363962,0.043008152,0.007136381,0.0405483,0.010049127,0.010183466,0.008579324,0.004618735,-0.000437905,-0.003027719,0.034091877,-0.015271148,-0.049949494,0.051733625,No,0.619887696,0.273611466,0.256427284
FLAG_WORK_PHONE,-0.000414597,0.028524322,0.055629718,-0.017193012,-0.021084599,-0.024803349,0.001086036,-0.015627579,0.17245687,-0.233971928,0.058283407,0.045963795,-0.056474113,0.000899875,0.233801126,1,0.021579592,0.293104549,-0.011520342,0.067190681,0.007348823,0.013413999,0.036826123,0.064484452,0.068202458,0.041513416,0.045947725,0.120999767,0.109889997,-0.076540345,-0.018842288,-0.063617268,-0.013139163,-0.003177266,-0.002610643,0.012344734,0.001270529,-0.010590728,-0.003236331,-0.023229891,-0.015700955,-0.000133255,-0.012239211,-0.011523908,-0.001859514,0.001254842,-0.010659237,-0.000748397,-0.002095569,0.012047932,0.002186169,-0.009121519,-0.001707835,-0.023017849,-0.015107682,0.001342541,-0.010137354,-0.008666792,-0.000141367,0.002806635,-0.012782395,-0.003331564,-0.001925955,0.012570538,0.001062765,-0.010445485,-0.002942046,-0.02330296,-0.015637278,-2.49E-05,-0.011989975,-0.011150455,-0.001137618,0.00180209,-0.011875215,-0.012396758,-0.008067844,-0.012619363,-0.007477014,-0.041537239,-0.00199273,0.060341802,-0.004499552,0.036846993,-0.138345199,0.001902472,0.021464215,0.008252068,0.002737154,0.123499912,-0.001272618,0.001769486,-0.002712122,0.007688693,0.005691637,0.001321948,0.032048955,0.011853526,0.00177067,0.001541304,-0.005358197,-0.00443366,-0.004403652,-0.001829433,-0.022964202,-0.07587488,-0.048369073,No,0.293104549,0.233801126,0.17245687
FLAG_CONT_MOBILE,0.002814803,0.000370127,-0.000794192,-0.008289503,0.023652846,0.022349692,0.020705627,-0.01247791,-0.014984502,0.012745202,-0.003847828,-0.000802037,0.012297596,-7.80E-05,-0.012818591,0.021579592,1,0.00625681,-0.005355575,0.000217573,0.013041202,0.013650987,-0.001559399,0.00104425,-0.001324247,-0.002922757,-0.000878103,0.003270352,0.003742118,0.002659444,-0.00354347,0.012133806,-0.002476976,-0.002666496,0.001390809,-0.002202116,-0.004398125,-0.006911745,0.002252465,-0.011090388,-0.004904932,0.005401885,-0.003887152,-0.006367406,-0.002609194,-0.006175448,-0.000798613,-0.000409358,0.001107435,-0.001865418,-0.003946378,-0.005128026,0.003106097,-0.010102579,-0.004727159,0.007187851,-0.002426219,-0.004669361,-0.001376356,-0.003761012,-0.001924251,-0.002290787,0.001328158,-0.00236793,-0.004527667,-0.00619454,0.002532084,-0.011114256,-0.004913868,0.005988148,-0.003685974,-0.00559735,-0.002623886,-0.005861439,-0.004686721,0.003048943,0.00481365,0.003120354,0.005182394,-0.028950515,0.000281178,0.006235211,0.000389932,0.005357242,0.00998149,-0.004840523,-0.022399623,-0.008180137,0.000206326,0.002710098,0.000110285,-0.064799678,-0.072839377,-0.013666876,-0.030624692,-0.013136476,-0.043067852,-0.005123255,0.000974257,-0.015677298,-0.004599552,-0.002481223,-0.008495914,0.005921715,0.006934477,0.026700397,-0.010509175,No,0.026700397,0.023652846,0.022349692
FLAG_PHONE,0.002753106,-0.023806272,-0.029905728,0.000158946,0.026212789,0.010801857,0.042179464,0.09093853,-0.042401758,0.01529107,-0.075188271,-0.037659651,-0.063183689,0.001127536,-0.016130659,0.293104549,0.00625681,1,0.014656899,-0.015417917,-0.083826617,-0.079134119,0.059375513,0.002077618,0.004283726,0.005561305,-0.048495659,-0.045717257,-0.023580465,0.081241015,0.061177501,0.002608403,0.056077065,0.050036701,0.010993454,-0.004713348,0.046009752,0.077342509,0.044376135,0.071839768,0.062862702,0.008412842,0.051827389,0.0651166,0.000950756,0.01696844,0.05044316,0.04346962,0.010818369,-0.006107452,0.037403267,0.071397604,0.039326287,0.067908974,0.059144206,0.006732185,0.045261951,0.058225726,-0.000891273,0.012097207,0.055741474,0.04905243,0.011566624,-0.004877194,0.045005222,0.076233221,0.043915608,0.070841831,0.062102634,0.008854245,0.051690542,0.064506213,0.000732651,0.015119232,0.059291608,-0.033483705,-0.029758494,-0.033427529,-0.028434901,-0.067457163,-0.00072752,-0.00801987,0.003990402,0.075455015,0.009835813,0.013275846,0.00477837,0.012923105,0.004598145,0.003230633,-0.001594579,0.006996969,0.010320871,0.008000792,0.010354279,0.004409674,0.00405495,0.009659924,0.0006919,1.98E-05,-0.003250592,-0.000833329,-0.000200831,0.031992048,-0.009969188,-0.031586861,0.064215914,No,0.293104549,0.09093853,0.081241015
FLAG_EMAIL,0.000280783,-0.001758383,0.02261866,0.038377965,0.016631912,0.071709263,0.017047561,0.040012152,0.088208325,-0.062111976,0.034388473,0.02750457,-0.018509744,0.000442199,0.062541798,-0.011520342,-0.005355575,0.014656899,1,0.018080954,-0.052063211,-0.050778018,0.023615754,0.018632411,0.031091759,0.026539922,0.014271863,0.004153982,-0.004058174,0.015677911,0.023743011,-0.052171621,0.031460027,0.017072017,0.003499737,0.005679225,0.021448846,0.040361115,0.008510191,0.047597501,0.044696333,0.003173189,0.030317009,0.035623511,-0.001502987,0.015015685,0.028515832,0.014505559,0.003419328,0.004621987,0.018632696,0.038282208,0.006582535,0.045396737,0.041623954,0.002348037,0.028403253,0.032346996,-0.00215315,0.011369411,0.031091705,0.017045983,0.003482433,0.005663645,0.021197633,0.04011146,0.008447265,0.047007993,0.044332152,0.003613972,0.030462279,0.035630026,-0.001663057,0.013872728,0.036330977,-0.003085847,-0.003177264,-0.002716351,-0.002216392,-0.01947164,0.002730228,0.01201462,0.002466813,0.000733515,-0.042659699,0.001678448,0.030473736,0.009489906,0.00177675,-0.003656177,-0.000625365,-0.003435849,0.001502269,-0.003276029,-0.012643976,-0.001421636,-0.008109839,-0.002524842,-0.001778346,-0.000647033,0.003390215,0.003849415,0.021580753,0.025668932,0.013425782,0.053354152,0.049262051,No,0.088208325,0.071709263,0.062541798
CNT_FAM_MEMBERS,-0.002895129,0.009307784,0.87916064,0.016341589,0.063159813,0.075539282,0.061185443,-0.024208892,0.278893585,-0.233549397,0.173416271,-0.020911608,-0.015060588,0.000302306,0.23395039,0.067190681,0.000217573,-0.015417917,0.018080954,1,0.029687904,0.030778317,-0.012225971,-0.017133102,0.003135265,0.011850022,0.012252297,0.070720507,0.077497224,-0.096568697,-0.001822828,-0.027963778,-0.01103338,-0.004202788,0.00756928,0.041517623,0.00149019,-0.001309988,-0.003921547,-0.003183064,-0.001088835,0.001603881,-0.006602264,-0.004739062,0.002193023,0.000930757,-0.009144217,-0.003541574,0.007042727,0.040906124,0.002607592,0.0004736,-0.002015227,-0.002394681,0.000255566,0.003311535,-0.005953455,-0.003080081,0.002190647,0.002000541,-0.010933437,-0.004720466,0.007218936,0.041434076,0.002049062,-0.000961408,-0.004010028,-0.002827013,-0.000476671,0.001947061,-0.006027482,-0.004496075,0.002309007,0.001078385,-0.002485965,0.025318141,-0.002653872,0.02497135,-0.004748882,-0.027108252,0.000557645,0.066129653,-0.003095799,-0.015174727,-0.15668209,-0.002302507,0.056652305,-0.006127377,-0.003045176,-0.007931657,0.000972679,0.005272521,-0.010417501,0.003719689,0.009685438,0.000761402,0.001484704,0.002205454,0.000187791,-0.005800622,0.000659645,-0.001214978,-0.001174033,-0.008021463,-0.00473917,-0.028570922,-0.042744884,No,0.87916064,0.278893585,0.23395039
REGION_RATING_CLIENT,-0.001074657,0.058899015,0.025422947,-0.085465189,-0.101776386,-0.128524581,-0.103786297,-0.532876531,0.00936065,0.032750276,0.080210445,-0.005103213,0.087494303,0.000185857,-0.032871019,0.007348823,0.013041202,-0.083826617,-0.052063211,0.029687904,1,0.950842214,-0.285698585,-0.044166378,-0.139890269,-0.146561183,0.035740762,0.008360054,-0.019153697,-0.115341256,-0.292895312,-0.0129027,-0.152625288,-0.062688919,0.004485058,0.039732803,-0.11937939,-0.226154546,-0.024540326,-0.234960611,-0.230181637,0.043810882,-0.156656022,-0.164300072,-0.016742893,-0.08126604,-0.123837469,-0.033520028,0.004500249,0.045814197,-0.094231283,-0.200736591,-0.005231572,-0.21986994,-0.215370503,0.057343501,-0.129676353,-0.133442322,-0.008775342,-0.058208337,-0.148448204,-0.058770755,0.004494122,0.04068148,-0.116155827,-0.220695231,-0.022238742,-0.23151657,-0.227451718,0.045601789,-0.152302371,-0.160575512,-0.014395871,-0.073805585,-0.160641895,0.034330414,0.015393677,0.033951198,0.017931261,0.026022252,0.001295,0.062528089,-0.00588918,-0.014076864,0.020929913,0.00133979,-0.084392662,-0.037313526,-0.000491736,-0.010347843,-0.000262842,-0.032430588,-0.038178934,-0.009284244,-0.00542356,-0.004422106,-0.012532231,-0.001205194,0.00221739,-0.001886555,0.006311923,-0.002240692,0.001683109,-0.069711771,0.005435982,0.01149412,-0.129344403,No,0.950842214,0.087494303,0.080210445
REGION_RATING_CLIENT_W_CITY,-0.001137598,0.060892668,0.024781243,-0.091734529,-0.110915258,-0.141681775,-0.112208373,-0.531535452,0.008073487,0.034623818,0.074038052,-0.00773742,0.088819699,0.000113065,-0.034712034,0.013413999,0.013650987,-0.079134119,-0.050778018,0.030778317,0.950842214,1,-0.264815253,-0.041142915,-0.133422957,-0.140770879,0.045668615,0.028081289,-0.002804707,-0.115373896,-0.288299242,-0.012157737,-0.172098951,-0.075027204,-0.000743772,0.033196773,-0.128951428,-0.237607983,-0.031289387,-0.251390503,-0.237623034,0.035161969,-0.180883897,-0.182562658,-0.019300893,-0.081602763,-0.144413532,-0.04768876,-0.000872024,0.038575061,-0.105387447,-0.21311692,-0.012538619,-0.237218516,-0.223656498,0.047232226,-0.15572026,-0.152907767,-0.012166012,-0.059467862,-0.167911252,-0.071204069,-0.000644411,0.034129938,-0.125913375,-0.232315902,-0.028762244,-0.247944289,-0.234852557,0.036703892,-0.176934033,-0.178784559,-0.01720333,-0.074593376,-0.178031346,0.030092921,0.013935304,0.029722225,0.017075923,0.025716957,-0.000407669,0.067082555,-0.005587329,-0.015613559,0.019869885,0.000999572,-0.087861389,-0.038913849,-0.001654913,-0.013151533,-0.000159898,-0.032760226,-0.037711435,-0.009253418,-0.005430361,-0.004193333,-0.01367203,-0.001529966,0.002609125,-0.001501169,0.006239078,-0.001952814,0.001101753,-0.067740773,0.004773185,0.010682813,-0.166072631,No,0.950842214,0.088819699,0.074038052
HOUR_APPR_PROCESS_START,0.000350292,-0.024165831,-0.007292162,0.036458999,0.052737645,0.05226943,0.06232044,0.171285185,0.091064348,-0.09113798,-0.01090788,0.031676326,-0.071899402,-0.000517157,0.091356255,0.036826123,-0.001559399,0.059375513,0.023615754,-0.012225971,-0.285698585,-0.264815253,1,0.054893842,0.075036578,0.06092005,0.016975576,0.021504294,0.015507084,0.032007204,0.156862931,-0.040517505,0.083375667,0.041045444,-0.010302761,-0.013769616,0.045540264,0.105254118,0.020954043,0.120331196,0.118364532,0.01485041,0.079199396,0.084642256,0.015506086,0.044931033,0.07515121,0.034441207,-0.011211221,-0.015938362,0.038362201,0.098346603,0.016342185,0.115169824,0.112840925,0.011998652,0.0719625,0.075582577,0.013466703,0.039198224,0.082531259,0.040691467,-0.00977923,-0.014068822,0.044211148,0.1042767,0.020614067,0.119066821,0.117616804,0.014680492,0.077899857,0.083698203,0.015127634,0.043729185,0.079712398,-0.008613119,-0.005672369,-0.008518313,-0.008738226,-0.014901786,-0.00196405,-0.013991627,0.00015622,0.026158313,-0.06958228,0.002103493,0.033338069,0.016208545,-0.002597108,0.014223847,0.003464506,0.023928535,0.02161774,0.009464958,0.019066167,0.005232546,0.021583554,0.002506736,0.003277039,0.003997864,-0.016005312,0.00227354,-0.002985113,0.037672985,-0.000680078,-0.030943109,0.066026328,No,0.171285185,0.156862931,0.120331196
REG_REGION_NOT_LIVE_REGION,-0.000282844,0.005575945,-0.013319272,0.031191192,0.024009863,0.041298982,0.026110962,0.002117931,0.065485786,-0.035803412,0.028212569,0.034756721,-0.019737089,0.000223618,0.036639877,0.064484452,0.00104425,0.002077618,0.018632411,-0.017133102,-0.044166378,-0.041142915,0.054893842,1,0.450803754,0.088262785,0.339232344,0.143074759,0.009838472,-0.032960496,0.015570335,-0.049161814,0.004421481,0.003799407,0.001129011,0.006651639,0.015360296,0.014890366,-0.000996694,0.009630827,0.012720416,-0.013496388,0.010036662,0.005491606,0.001150916,0.008505354,0.002230442,0.00315453,0.001360937,0.006074519,0.01180386,0.012964361,-0.002082889,0.009303554,0.012279267,-0.014235818,0.006482344,0.003350764,0.00142472,0.006674796,0.00401546,0.003588076,0.001029647,0.006253467,0.015030505,0.014289972,-0.001202537,0.009322298,0.012442502,-0.013745558,0.009547467,0.005179354,0.001463929,0.007698693,0.006843895,-0.020640613,-0.007939674,-0.020592021,-0.007700346,0.037881474,-0.000806282,-0.033659338,-0.001118134,0.009517428,-0.024062093,0.002127283,0.023668847,0.01746422,0.004989414,0.103987167,-0.000316244,0.003407178,0.002128249,-0.00201747,-0.006508932,0.004498148,0.008344119,-0.001934091,-0.002793693,0.005006014,-0.002043751,-0.001341612,0.001227277,0.000316045,-0.001812794,-0.01709511,-0.0226251,No,0.450803754,0.339232344,0.143074759
REG_REGION_NOT_WORK_REGION,0.001097498,0.006941908,0.00818474,0.062340452,0.051928889,0.079420497,0.053171095,0.056943933,0.095818768,-0.107150345,0.036787078,0.04807076,-0.031822595,0.000417045,0.108355394,0.068202458,-0.001324247,0.004283726,0.031091759,0.003135265,-0.139890269,-0.133422957,0.075036578,0.450803754,1,0.86062678,0.151396981,0.239764586,0.19709687,-0.049441191,0.029516742,-0.049142867,0.008091041,-0.004678369,0.010519896,0.019668459,0.019502574,0.020571003,-0.01135932,0.031553817,0.043372668,-0.01115205,0.014074044,0.012584662,0.004421806,0.01137337,0.008821733,-0.004370181,0.011119259,0.019683942,0.018961015,0.021148235,-0.010375732,0.031566374,0.044000385,-0.010313133,0.013967998,0.012517344,0.005777322,0.011748876,0.008441399,-0.004787217,0.010503765,0.019655759,0.019849285,0.020918856,-0.011409707,0.031789717,0.043426029,-0.010958233,0.014618431,0.013014334,0.005131784,0.011690112,0.016722115,-0.028855047,-0.017479819,-0.028951845,-0.01706162,0.036388931,0.000774652,-0.021020592,-0.002085308,0.015786628,-0.066949395,0.002144053,0.059898959,0.02025516,0.002001441,0.05907063,-0.000589792,0.012488659,0.013183384,0.002605547,0.000896851,0.001666606,0.007436168,0.001038255,-0.001263056,-0.000995087,-0.00174863,-0.001775043,-0.000705288,0.008360203,-0.004958859,-0.021586739,-0.017058582,No,0.86062678,0.450803754,0.239764586
LIVE_REGION_NOT_WORK_REGION,0.002903051,0.002819479,0.014834806,0.058058669,0.052608985,0.074550367,0.0528641,0.08101571,0.069567283,-0.095538574,0.027560241,0.033937661,-0.028980202,0.000371245,0.096447143,0.041513416,-0.002922757,0.005561305,0.026539922,0.011850022,-0.146561183,-0.140770879,0.06092005,0.088262785,0.86062678,1,0.021075759,0.185863066,0.236635282,-0.031388612,0.030048937,-0.029602754,0.018093761,0.000964657,0.012031066,0.017096557,0.029340361,0.032592061,-0.00722889,0.044362177,0.054003448,-0.006779553,0.023999924,0.023489154,0.006018142,0.015312292,0.017830794,0.000351854,0.012578871,0.017023231,0.028017305,0.032216955,-0.006760767,0.043833244,0.054113205,-0.006717028,0.022858269,0.022342913,0.00706713,0.014749677,0.018141064,0.000698667,0.011993579,0.016910891,0.029445136,0.032566633,-0.007299326,0.044411922,0.053927268,-0.006729089,0.024199846,0.023654524,0.006676753,0.015034725,0.027376434,-0.023147256,-0.016967369,-0.023242633,-0.016693349,0.021361091,0.001193898,-0.011083042,-0.001856297,0.013362756,-0.059148401,0.000714652,0.060135605,0.015142965,-0.000982231,0.007408647,-0.000525021,0.016092804,0.013780253,0.00373032,0.00429624,-0.001345296,0.00428209,0.003078386,-0.000250635,-0.00196869,-0.000995681,-0.000992822,-0.001486169,0.010246038,-0.005655483,-0.017428957,-0.002850998,No,0.86062678,0.236635282,0.185863066
REG_CITY_NOT_LIVE_CITY,-0.001884755,0.044395375,0.02007185,0.003573843,-0.026886392,-0.006213614,-0.027211552,-0.050499385,0.180382173,-0.090516158,0.064333531,0.076325993,0.009218082,0.000525138,0.092165667,0.045947725,-0.000878103,-0.048495659,0.014271863,0.012252297,0.035740762,0.045668615,0.016975576,0.339232344,0.151396981,0.021075759,1,0.440409218,0.028111842,-0.140999679,-0.043265504,-0.078476956,-0.052598996,-0.028304887,-0.013513856,0.008839575,-0.017383815,-0.043336855,-0.026923443,-0.070172227,-0.041940978,-0.028695539,-0.036513716,-0.051770171,-0.006973876,-0.015450448,-0.049204145,-0.024111425,-0.01139443,0.00942977,-0.016125729,-0.041001053,-0.022897144,-0.068042926,-0.040210498,-0.025897213,-0.034371154,-0.048210552,-0.005419345,-0.012953383,-0.052003848,-0.027964147,-0.013430672,0.008595848,-0.01715826,-0.042786143,-0.026336389,-0.0697856,-0.041602204,-0.028456089,-0.036317124,-0.051275553,-0.006454036,-0.014557167,-0.052224715,-0.012612953,0.007167201,-0.012722917,0.007557112,0.054182777,-0.001893449,0.003116866,6.14E-05,-0.000133763,-0.058213833,-0.001410102,0.01811275,0.005318354,0.003688722,0.055104829,-0.000742659,0.000257674,-0.004161907,-0.002467512,-0.012665962,-0.00104626,0.013431956,-0.005119117,-0.001180841,0.002613788,0.000549119,-0.002152195,-0.001517228,-0.010880951,0.000933345,-0.00479282,-0.153440669,No,0.440409218,0.339232344,0.180382173
